segment_name,company_name,region,aliases,leader_type,evidence_ids,confidence,limitations
先进封装,Amkor,海外,Amkor;安靠,龙头候选,E2-121;E2-129;E2-132;E2-133;E2-134;E2-135;E2-139,medium,候选池阶段，未完成财报/份额硬核验。
先进封装,Intel,海外,Intel;Foveros,龙头候选,E2-130;E2-131;E2-132;E2-133;E2-135;E2-139;E2-141,medium,候选池阶段，未完成财报/份额硬核验。
先进封装,SK hynix,海外,SK hynix;海力士,龙头候选,E2-118;E2-120;E2-122;E2-123;E2-124;E2-127;E2-132;E2-139,medium,候选池阶段，未完成财报/份额硬核验。
先进封装,Samsung,海外,Samsung;I-Cube,龙头候选,E2-130;E2-131;E2-132;E2-133;E2-134;E2-135;E2-139,medium,候选池阶段，未完成财报/份额硬核验。
先进封装,TSMC,海外,TSMC;CoWoS;台积电,龙头候选,E2-118;E2-122;E2-123;E2-124;E2-127;E2-130;E2-131;E2-132;E2-133;E2-135;E2-136;E2-137;E2-138;E2-139;E2-141,medium,候选池阶段，未完成财报/份额硬核验。
功率半导体/SiC-GaN,华润微,国内,华润微;CR Micro,龙头候选,E2-194,medium,候选池阶段，未完成财报/份额硬核验。
功率半导体/SiC-GaN,士兰微,国内,士兰微;Silan,龙头候选,E2-189;E2-190;E2-191;E2-192;E2-194,medium,候选池阶段，未完成财报/份额硬核验。
功率半导体/SiC-GaN,天岳先进,国内,天岳先进,龙头候选,E2-195;E2-196;E2-197;E2-198;E2-199;E2-200,medium,候选池阶段，未完成财报/份额硬核验。
功率半导体/SiC-GaN,天科合达,国内,天科合达,龙头候选,E2-200,medium,候选池阶段，未完成财报/份额硬核验。
功率半导体/SiC-GaN,斯达半导,国内,斯达半导;StarPower,龙头候选,E2-190;E2-194,medium,候选池阶段，未完成财报/份额硬核验。
功率半导体/SiC-GaN,新洁能,国内,新洁能,龙头候选,E2-190,medium,候选池阶段，未完成财报/份额硬核验。
功率半导体/SiC-GaN,闻泰科技,国内,闻泰科技;Nexperia,龙头候选,E2-206,medium,候选池阶段，未完成财报/份额硬核验。
功率半导体/SiC-GaN,EPC,海外,EPC;Efficient Power Conversion,龙头候选,E2-209,medium,候选池阶段，未完成财报/份额硬核验。
功率半导体/SiC-GaN,Infineon,海外,Infineon;英飞凌,龙头候选,E2-189;E2-191;E2-192;E2-194;E2-203;E2-204;E2-206;E2-208;E2-210,medium,候选池阶段，未完成财报/份额硬核验。
功率半导体/SiC-GaN,Navitas,海外,Navitas,龙头候选,E2-209,medium,候选池阶段，未完成财报/份额硬核验。
功率半导体/SiC-GaN,ROHM,海外,ROHM;罗姆,龙头候选,E2-200;E2-206,medium,候选池阶段，未完成财报/份额硬核验。
功率半导体/SiC-GaN,STMicroelectronics,海外,STMicroelectronics;意法半导体,龙头候选,E2-194;E2-204;E2-206,medium,候选池阶段，未完成财报/份额硬核验。
功率半导体/SiC-GaN,Transphorm,海外,Transphorm,龙头候选,E2-209,medium,候选池阶段，未完成财报/份额硬核验。
功率半导体/SiC-GaN,Wolfspeed,海外,Wolfspeed,龙头候选,E2-194;E2-195;E2-200;E2-204;E2-206,medium,候选池阶段，未完成财报/份额硬核验。
功率半导体/SiC-GaN,onsemi,海外,onsemi;安森美,龙头候选,E2-194,medium,候选池阶段，未完成财报/份额硬核验。
半导体材料,TCL中环,国内,TCL中环;TCL Zhonghuan,龙头候选,E2-097;E2-101,medium,候选池阶段，未完成财报/份额硬核验。
半导体材料,华特气体,国内,华特气体,龙头候选,E2-095;E2-096;E2-097;E2-100;E2-101;E2-102,medium,候选池阶段，未完成财报/份额硬核验。
半导体材料,南大光电,国内,南大光电,龙头候选,E2-095;E2-096;E2-097;E2-100;E2-101;E2-102;E2-104,medium,候选池阶段，未完成财报/份额硬核验。
半导体材料,安集科技,国内,安集科技;Anji,龙头候选,E2-095;E2-097;E2-101,medium,候选池阶段，未完成财报/份额硬核验。
半导体材料,彤程新材,国内,彤程新材,龙头候选,E2-095;E2-096;E2-097;E2-100;E2-101;E2-102,medium,候选池阶段，未完成财报/份额硬核验。
半导体材料,江丰电子,国内,江丰电子,龙头候选,E2-094;E2-095;E2-096;E2-098;E2-100;E2-102,medium,候选池阶段，未完成财报/份额硬核验。
半导体材料,沪硅产业,国内,沪硅产业;NSIG,龙头候选,E2-095;E2-096;E2-097;E2-100;E2-101;E2-102,medium,候选池阶段，未完成财报/份额硬核验。
半导体材料,立昂微,国内,立昂微;Lion Micro,龙头候选,E2-096;E2-097;E2-101;E2-102,medium,候选池阶段，未完成财报/份额硬核验。
半导体材料,雅克科技,国内,雅克科技,龙头候选,E2-094;E2-100,medium,候选池阶段，未完成财报/份额硬核验。
半导体材料,鼎龙股份,国内,鼎龙股份,龙头候选,E2-097;E2-101,medium,候选池阶段，未完成财报/份额硬核验。
半导体材料,DuPont,海外,DuPont;杜邦,龙头候选,E2-106;E2-117,medium,候选池阶段，未完成财报/份额硬核验。
半导体材料,GlobalWafers,海外,GlobalWafers;环球晶,龙头候选,E2-096;E2-102;E2-114;E2-115,medium,候选池阶段，未完成财报/份额硬核验。
半导体材料,JSR,海外,JSR,龙头候选,E2-096;E2-102;E2-110;E2-111,medium,候选池阶段，未完成财报/份额硬核验。
半导体材料,SUMCO,海外,SUMCO,龙头候选,E2-096;E2-102;E2-106;E2-109;E2-117,medium,候选池阶段，未完成财报/份额硬核验。
半导体材料,Shin-Etsu,海外,Shin-Etsu;信越,龙头候选,E2-096;E2-102;E2-106;E2-109;E2-111;E2-114;E2-117,medium,候选池阶段，未完成财报/份额硬核验。
半导体材料,Siltronic,海外,Siltronic,龙头候选,E2-096;E2-102;E2-114;E2-116,medium,候选池阶段，未完成财报/份额硬核验。
半导体材料,TOK,海外,Tokyo Ohka;TOK,龙头候选,E2-111,medium,候选池阶段，未完成财报/份额硬核验。
半导体设备,中微公司,国内,中微公司;AMEC,龙头候选,E2-072;E2-073;E2-074;E2-075;E2-076;E2-077,medium,候选池阶段，未完成财报/份额硬核验。
半导体设备,中科飞测,国内,中科飞测,龙头候选,E2-077;E2-078;E2-079;E2-080,medium,候选池阶段，未完成财报/份额硬核验。
半导体设备,北方华创,国内,北方华创;NAURA,龙头候选,E2-072;E2-073;E2-074;E2-075;E2-076;E2-077,medium,候选池阶段，未完成财报/份额硬核验。
半导体设备,华海清科,国内,华海清科;Hwatsing,龙头候选,E2-074;E2-077,medium,候选池阶段，未完成财报/份额硬核验。
半导体设备,拓荆科技,国内,拓荆;Piotech,龙头候选,E2-072;E2-073;E2-077,medium,候选池阶段，未完成财报/份额硬核验。
半导体设备,盛美上海,国内,盛美;ACM Research,龙头候选,E2-074;E2-077,medium,候选池阶段，未完成财报/份额硬核验。
半导体设备,精测电子,国内,精测电子,龙头候选,E2-077,medium,候选池阶段，未完成财报/份额硬核验。
半导体设备,芯源微,国内,芯源微,龙头候选,E2-077,medium,候选池阶段，未完成财报/份额硬核验。
半导体设备,ASM International,海外,ASM International;ASM,龙头候选,E2-082;E2-090,medium,候选池阶段，未完成财报/份额硬核验。
半导体设备,ASML,海外,ASML;阿斯麦,龙头候选,E2-074;E2-082;E2-084;E2-085;E2-086;E2-088;E2-090;E2-092;E2-093,medium,候选池阶段，未完成财报/份额硬核验。
半导体设备,Advantest,海外,Advantest;爱德万,龙头候选,E2-089,medium,候选池阶段，未完成财报/份额硬核验。
半导体设备,Applied Materials,海外,Applied Materials;AMAT;应用材料,龙头候选,E2-082;E2-084;E2-085;E2-088;E2-090;E2-093,medium,候选池阶段，未完成财报/份额硬核验。
半导体设备,KLA,海外,KLA;科磊,龙头候选,E2-082;E2-090;E2-092,medium,候选池阶段，未完成财报/份额硬核验。
半导体设备,Lam Research,海外,Lam Research;泛林,龙头候选,E2-084;E2-085;E2-086;E2-087;E2-091;E2-092,medium,候选池阶段，未完成财报/份额硬核验。
半导体设备,Tokyo Electron,海外,Tokyo Electron;TEL;东京电子,龙头候选,E2-082;E2-084;E2-086;E2-090,medium,候选池阶段，未完成财报/份额硬核验。
存储/HBM,佰维存储,国内,佰维存储;Biwin,龙头候选,E2-166;E2-168;E2-170;E2-171;E2-173,medium,候选池阶段，未完成财报/份额硬核验。
存储/HBM,兆易创新,国内,兆易创新;GigaDevice,龙头候选,E2-166;E2-167;E2-168;E2-170;E2-171;E2-173,medium,候选池阶段，未完成财报/份额硬核验。
存储/HBM,北京君正,国内,北京君正,龙头候选,E2-167;E2-168;E2-170;E2-171,medium,候选池阶段，未完成财报/份额硬核验。
存储/HBM,江波龙,国内,江波龙;Longsys,龙头候选,E2-166;E2-167;E2-168;E2-170;E2-171;E2-173,medium,候选池阶段，未完成财报/份额硬核验。
存储/HBM,长江存储,国内,长江存储;YMTC,龙头候选,E2-167;E2-168;E2-169;E2-172;E2-174;E2-175;E2-176,medium,候选池阶段，未完成财报/份额硬核验。
存储/HBM,长鑫存储,国内,长鑫存储;CXMT,龙头候选,E2-166;E2-168;E2-169;E2-171;E2-172;E2-173;E2-175;E2-176,medium,候选池阶段，未完成财报/份额硬核验。
存储/HBM,Kioxia,海外,Kioxia;铠侠,龙头候选,E2-176;E2-177;E2-179;E2-180,medium,候选池阶段，未完成财报/份额硬核验。
存储/HBM,Micron,海外,Micron;美光,龙头候选,E2-176;E2-177;E2-179;E2-180;E2-181;E2-183;E2-184;E2-185;E2-187;E2-188,medium,候选池阶段，未完成财报/份额硬核验。
存储/HBM,SK hynix,海外,SK hynix;海力士,龙头候选,E2-171;E2-176;E2-177;E2-178;E2-179;E2-180;E2-181;E2-182;E2-183;E2-184;E2-185;E2-186;E2-187;E2-188,medium,候选池阶段，未完成财报/份额硬核验。
存储/HBM,Samsung,海外,Samsung;三星,龙头候选,E2-170;E2-176;E2-177;E2-178;E2-179;E2-180;E2-182;E2-183;E2-184;E2-185;E2-186;E2-187;E2-188,medium,候选池阶段，未完成财报/份额硬核验。
存储/HBM,Western Digital,海外,Western Digital;西部数据,龙头候选,E2-177;E2-179;E2-180,medium,候选池阶段，未完成财报/份额硬核验。
晶圆制造/Foundry-IDM,中芯国际,国内,中芯国际;SMIC,龙头候选,E2-048;E2-049;E2-050;E2-051;E2-052;E2-053;E2-056;E2-058;E2-061;E2-062;E2-064;E2-065;E2-069,medium,候选池阶段，未完成财报/份额硬核验。
晶圆制造/Foundry-IDM,华虹半导体,国内,华虹;Hua Hong,龙头候选,E2-048;E2-049;E2-050;E2-051;E2-052;E2-053;E2-056;E2-058,medium,候选池阶段，未完成财报/份额硬核验。
晶圆制造/Foundry-IDM,粤芯半导体,国内,粤芯半导体;CanSemi,龙头候选,E2-059,medium,候选池阶段，未完成财报/份额硬核验。
晶圆制造/Foundry-IDM,GlobalFoundries,海外,GlobalFoundries,龙头候选,E2-062;E2-064;E2-065,medium,候选池阶段，未完成财报/份额硬核验。
晶圆制造/Foundry-IDM,Intel,海外,Intel;英特尔,龙头候选,E2-053;E2-056;E2-061;E2-064;E2-069,medium,候选池阶段，未完成财报/份额硬核验。
晶圆制造/Foundry-IDM,Samsung,海外,Samsung;三星,龙头候选,E2-060;E2-061;E2-065;E2-066;E2-069,medium,候选池阶段，未完成财报/份额硬核验。
晶圆制造/Foundry-IDM,TSMC,海外,TSMC;台积电,龙头候选,E2-051;E2-052;E2-053;E2-056;E2-060;E2-061;E2-062;E2-063;E2-064;E2-065;E2-066;E2-068;E2-069,medium,候选池阶段，未完成财报/份额硬核验。
晶圆制造/Foundry-IDM,UMC,海外,UMC;联电,龙头候选,E2-062;E2-064;E2-065,medium,候选池阶段，未完成财报/份额硬核验。
终端应用/系统需求,中兴通讯,国内,中兴通讯;ZTE,龙头候选,E2-217;E2-223,medium,候选池阶段，未完成财报/份额硬核验。
终端应用/系统需求,中科曙光,国内,中科曙光;Sugon,龙头候选,E2-217;E2-222,medium,候选池阶段，未完成财报/份额硬核验。
终端应用/系统需求,工业富联,国内,工业富联;Foxconn Industrial Internet;FII,龙头候选,E2-213;E2-217;E2-219;E2-220;E2-221;E2-222,medium,候选池阶段，未完成财报/份额硬核验。
终端应用/系统需求,浪潮信息,国内,浪潮信息;Inspur,龙头候选,E2-213;E2-214;E2-215;E2-216;E2-217;E2-219;E2-222,medium,候选池阶段，未完成财报/份额硬核验。
终端应用/系统需求,联想,国内,联想;Lenovo,龙头候选,E2-223,medium,候选池阶段，未完成财报/份额硬核验。
终端应用/系统需求,Amazon,海外,Amazon;AWS,龙头候选,E2-231;E2-232;E2-236,medium,候选池阶段，未完成财报/份额硬核验。
终端应用/系统需求,Dell,海外,Dell,龙头候选,E2-225;E2-235,medium,候选池阶段，未完成财报/份额硬核验。
终端应用/系统需求,Google,海外,Google;谷歌,龙头候选,E2-220;E2-231;E2-232,medium,候选池阶段，未完成财报/份额硬核验。
终端应用/系统需求,Meta,海外,Meta,龙头候选,E2-220;E2-231,medium,候选池阶段，未完成财报/份额硬核验。
终端应用/系统需求,Microsoft,海外,Microsoft;微软,龙头候选,E2-220;E2-231;E2-232;E2-236,medium,候选池阶段，未完成财报/份额硬核验。
终端应用/系统需求,Supermicro,海外,Supermicro;Super Micro,龙头候选,E2-225;E2-235,medium,候选池阶段，未完成财报/份额硬核验。
芯片设计/Fabless,兆易创新,国内,兆易创新;GigaDevice,龙头候选,E2-026;E2-027;E2-028;E2-029,medium,候选池阶段，未完成财报/份额硬核验。
芯片设计/Fabless,卓胜微,国内,卓胜微;Maxscend,龙头候选,E2-028,medium,候选池阶段，未完成财报/份额硬核验。
芯片设计/Fabless,寒武纪,国内,寒武纪;Cambricon,龙头候选,E2-026;E2-027;E2-028;E2-029;E2-030;E2-031;E2-032;E2-033;E2-034;E2-039;E2-046,medium,候选池阶段，未完成财报/份额硬核验。
芯片设计/Fabless,晶晨股份,国内,晶晨股份;Amlogic,龙头候选,E2-033,medium,候选池阶段，未完成财报/份额硬核验。
芯片设计/Fabless,海光信息,国内,海光信息;Hygon,龙头候选,E2-026;E2-029;E2-030;E2-031;E2-032;E2-033;E2-034;E2-035,medium,候选池阶段，未完成财报/份额硬核验。
芯片设计/Fabless,海思,国内,海思;HiSilicon,龙头候选,E2-024;E2-026;E2-027;E2-029,medium,候选池阶段，未完成财报/份额硬核验。
芯片设计/Fabless,澜起科技,国内,澜起科技;Montage,龙头候选,E2-028;E2-030;E2-035,medium,候选池阶段，未完成财报/份额硬核验。
芯片设计/Fabless,瑞芯微,国内,瑞芯微;Rockchip,龙头候选,E2-033,medium,候选池阶段，未完成财报/份额硬核验。
芯片设计/Fabless,紫光展锐,国内,紫光展锐;UNISOC,龙头候选,E2-024;E2-026;E2-029,medium,候选池阶段，未完成财报/份额硬核验。
芯片设计/Fabless,韦尔股份,国内,韦尔;OmniVision,龙头候选,E2-024;E2-025;E2-026;E2-028;E2-029,medium,候选池阶段，未完成财报/份额硬核验。
芯片设计/Fabless,AMD,海外,AMD,龙头候选,E2-031;E2-035;E2-037;E2-039;E2-042;E2-044;E2-046,medium,候选池阶段，未完成财报/份额硬核验。
芯片设计/Fabless,Broadcom,海外,Broadcom;博通,龙头候选,E2-037;E2-040;E2-042;E2-044;E2-045,medium,候选池阶段，未完成财报/份额硬核验。
芯片设计/Fabless,Marvell,海外,Marvell;迈威尔,龙头候选,E2-039;E2-044;E2-046,medium,候选池阶段，未完成财报/份额硬核验。
芯片设计/Fabless,MediaTek,海外,MediaTek;联发科,龙头候选,E2-026;E2-029;E2-039;E2-046,medium,候选池阶段，未完成财报/份额硬核验。
芯片设计/Fabless,NVIDIA,海外,NVIDIA;英伟达,龙头候选,E2-031;E2-033;E2-037;E2-038;E2-039;E2-040;E2-041;E2-042;E2-043;E2-044;E2-045;E2-046,medium,候选池阶段，未完成财报/份额硬核验。
芯片设计/Fabless,Qualcomm,海外,Qualcomm;高通,龙头候选,E2-027;E2-037;E2-039;E2-041;E2-042;E2-046,medium,候选池阶段，未完成财报/份额硬核验。
