relationship_id,source_company,source_segment,target_company,target_segment,relationship_type,relationship_direction,relationship_claim,evidence_ids,source_urls,confidence,limitations,record_id,data_as_of,first_seen_at,last_verified_at,event_date,event_start_at,event_end_at,time_precision,temporal_basis,source_publish_dates,source_retrieved_dates,current_validity,claim_nature,primary_evidence_id,evidence_grade_summary,verification_method,needs_refresh_after,risk_note
R4-011,Samsung,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,Qualcomm,中游/设计与产品/芯片设计/Fabless/手机SoC/通信基带,晶圆代工,Samsung -> Qualcomm,Samsung Foundry 为 Qualcomm 部分 Snapdragon 产品提供晶圆代工能力。,E4-050;E4-051;E4-052;E4-053;E4-054;E4-055;E4-056,https://semiconductor.samsung.com/news-events/news/samsung-electronics-and-qualcomm-expand-foundry-cooperation-on-euv-process-technology | https://www.prnewswire.com/news-releases/samsung-electronics-and-qualcomm-expand-foundry-cooperation-on-euv-process-technology-300602396.html | https://investor.qualcomm.com/news-events/press-releases/news-details/2018/Samsung-Electronics-and-Qualcomm-Expand-Foundry-Cooperation-on-EUV-Process-Technology-02-21-2018/default.aspx | https://www.gsmarena.com/qualcomm_could_return_to_samsung_for_its_2nm_chip_production-news-71053.php | https://www.sammyfans.com/2026/01/27/samsung-sees-qualcomm-snapdragon-opportunity | https://www.gizchina.com/qualcomm/rumor-busting-samsung-will-not-manufacture-the-snapdragon-8-elite-gen-6,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-011,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-050,A:3;A-:1;B-:3,公开资料检索,2026-10-08,
R4-012,GlobalFoundries,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,AMD,中游/设计与产品/芯片设计/Fabless/AI/GPU/CPU算力芯片,晶圆代工,GlobalFoundries -> AMD,GlobalFoundries 与 AMD 存在晶圆供应/制造协议关系。,E4-057;E4-058;E4-059;E4-060;E4-061;E4-062;E4-063;E4-064,https://www.techpowerup.com/290184/amd-and-globalfoundries-renew-wafer-supply-agreement | https://www.prnewswire.com/news-releases/globalfoundries-announces-extension-of-amd-wafer-supply-agreement-to-guarantee-supply-301450593.html | https://investors.gf.com/news-releases/news-release-details/globalfoundries-announces-extension-amd-wafer-supply-agreement | https://ir.amd.com/news-events/press-releases/detail/98/amd-amends-wafer-supply-agreement-with-globalfoundries | https://www.hpcwire.com/2021/05/13/amd-and-globalfoundries-commit-to-1-6-billion-wafer-agreement | https://ir.amd.com/financial-information/sec-filings/content/0000002488-22-000016/ex10_63amd-wsa1stamendemen.htm,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-012,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-057,A:3;A-:1;B-:4,公开资料检索,2026-10-08,
R4-014,ASML,上游/制造支撑/半导体设备/光刻设备,TSMC,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,设备供应,ASML -> TSMC,ASML 向 TSMC 等先进制程晶圆厂供应光刻设备。,E4-065;E4-066,https://papers.ssrn.com/sol3/Delivery.cfm/6453478.pdf?abstractid=6453478&mirid=1 | https://www.asml.com/news/press-releases/2010/tsmc-to-take-delivery-of-an-asml-euv-lithography-system,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-014,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-065,A:1;B-:1,公开资料检索,2026-10-08,
R4-015,ASML,上游/制造支撑/半导体设备/光刻设备,Samsung,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,设备供应,ASML -> Samsung,ASML 向 Samsung Foundry/半导体制造业务供应光刻设备。,E4-067;E4-068;E4-069,https://www.eetimes.com/blog-samsung-goes-euv-with-asml | https://lifeboat.com/blog/2025/10/samsung-to-receive-two-asml-high-na-euv-lithography-machines-for-2nm-and-dram-production | https://www.reuters.com/technology/samsungs-lee-discusses-smooth-supply-essential-chip-equipment-with-asmls-wennink-2022-06-15,medium,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。 证据强度审计显示该判断主要依赖搜索结果或 B/B- 来源；已降为 medium，待补官网、公告、年报、招股书或权威市场份额报告后再恢复 high。,stage4::R4-015,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-067,A-:2;B-:1,公开资料检索,2026-10-08,
R4-016,ASML,上游/制造支撑/半导体设备/光刻设备,Intel,中游/制造/晶圆制造/Foundry-IDM/IDM/特色工艺制造,设备供应,ASML -> Intel,ASML 向 Intel 先进制造业务供应光刻设备。,E4-070;E4-071;E4-072;E4-073;E4-074;E4-075;E4-076,https://newsroom.intel.com/press-kit/intel-high-na-euv | https://semiwiki.com/forum/threads/intel-is-industry%E2%80%99s-first-mover-on-high-na-euv-lithography-system.20059 | https://newsroom.intel.com/intel-foundry/intel-foundry-opens-new-frontier-chipmaking | https://www.trendforce.com/news/2025/10/02/news-intel-rumored-to-purchase-more-asml-high-na-euv-equipment | https://semiwiki.com/forum/threads/tsmcs-refusal-of-asmls-expensive-high-na-euv-equipment-explained.25001 | https://www.tomshardware.com/tech-industry/semiconductors/intel-installs-industrys-first-commercial-high-na-euv-lithography-tool-asml-twinscan-exe-5200b-sets-the-stage-for-14a,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-016,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-070,A:2;A-:1;B-:4,公开资料检索,2026-10-08,
R4-017,Applied Materials,上游/制造支撑/半导体设备/薄膜沉积设备,TSMC,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,设备供应,Applied Materials -> TSMC,Applied Materials 的材料工程/沉积等设备进入 TSMC 等晶圆制造生态。,E4-077;E4-078;E4-079;E4-080;E4-081;E4-082,https://www.semiconductor-today.com/news_items/2026/may/appliedmaterials-tsmc-120526.shtml | https://pr.tsmc.com/english/news/2249 | https://ir.appliedmaterials.com/news-releases/news-release-details/applied-materials-and-tsmc-partner-epic-center-accelerate-ai | https://finance.yahoo.com/sectors/technology/articles/applied-materials-amat-tsmc-expand-134204521.html | https://www.eenewseurope.com/en/tsmc-and-applied-materials-team-up-on-ai-chip-manufacturing-rd | https://pr.tsmc.com/english/news/1648,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-017,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-077,A:3;B-:3,公开资料检索,2026-10-08,
R4-018,Lam Research,上游/制造支撑/半导体设备/刻蚀设备,Samsung,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,设备供应,Lam Research -> Samsung,Lam Research 的刻蚀/沉积相关设备进入 Samsung 半导体制造生态。,E4-083;E4-084;E4-085,https://newsroom.lamresearch.com/1999-02-24-Lam-Receives-A-Significant-Order-For-Multiple-Systems-From-Samsung | https://investor.lamresearch.com/2017-05-15-Lam-Research-Corporation-Appoints-Dr-Y-B-Koh-to-Board-of-Directors,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-018,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-083,A:3,公开资料检索,2026-10-08,
R4-019,KLA,上游/制造支撑/半导体设备/量测检测设备,TSMC,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,设备供应,KLA -> TSMC,KLA 的过程控制/量测检测设备进入 TSMC 等先进晶圆制造生态。,E4-086;E4-087;E4-088;E4-089,https://pr.tsmc.com/english/news/3192 | https://pr.tsmc.com/system/files/newspdf/attachment/083b1ab2191856b8e0f31b46a40dcadafc595e8e/2025%20Supply%20Chain%20Management%20Forum%20Press%20Release%20%28E%29_final_wmn.pdf | https://pr.tsmc.com/system/files/newspdf/attachment/d35a3490c76e4dd278e9975c4785daa0e415edc4/2022%20Excellent%20Performance%20Award%20Press%20Release%20%28E%29_final_wmn.pdf | https://pr.tsmc.com/english/news/1697,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-019,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-086,A:4,公开资料检索,2026-10-08,
R4-020,Tokyo Electron,上游/制造支撑/半导体设备/薄膜沉积设备,TSMC,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,设备供应,Tokyo Electron -> TSMC,Tokyo Electron 的涂胶显影、沉积或热处理设备进入 TSMC 等晶圆制造生态。,E4-090;E4-091;E4-092;E4-093;E4-094,https://asia.nikkei.com/business/tech/semiconductors/tokyo-electron-s-close-ties-with-tsmc-at-risk-after-chip-tech-leak | https://fortune.com/asia/2025/08/08/tsmc-secrets-leak-japan-tokyo-electron | https://www.manufacturing.net/supply-chain/news/22965495/former-worker-at-tsmc-supplier-sentenced-to-10-years-in-trade-secrets-case | https://www3.nhk.or.jp/nhkworld/en/news/20260427_23 | https://www.digitimes.com/news/a20250807PD231/tel-taiwan-tsmc-equipment-subsidiary.html,medium,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。 证据强度审计显示该判断主要依赖搜索结果或 B/B- 来源；已降为 medium，待补官网、公告、年报、招股书或权威市场份额报告后再恢复 high。,stage4::R4-020,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-090,A-:2;B-:3,公开资料检索,2026-10-08,
R4-021,Shin-Etsu,上游/制造支撑/半导体材料/硅片,TSMC,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,材料供应,Shin-Etsu -> TSMC,Shin-Etsu 向 TSMC 等晶圆制造厂供应半导体硅片/材料。,E4-095;E4-096;E4-097,https://www.opportimes.com/en/tsmcs-6-semiconductor-wafer-vendors | https://www.shinetsu.co.jp/en/news/news-release/shin-etsu-presented-with-2023-tsmc-excellent-performance-award,medium,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。 证据强度审计显示该判断主要依赖搜索结果或 B/B- 来源；已降为 medium，待补官网、公告、年报、招股书或权威市场份额报告后再恢复 high。,stage4::R4-021,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-095,A:2;B-:1,公开资料检索,2026-10-08,
R4-022,SUMCO,上游/制造支撑/半导体材料/硅片,TSMC,中游/制造/晶圆制造/Foundry-IDM/晶圆代工/Foundry,材料供应,SUMCO -> TSMC,SUMCO 向 TSMC 等晶圆制造厂供应半导体硅片。,E4-098;E4-099;E4-100,https://www.opportimes.com/en/tsmcs-6-semiconductor-wafer-vendors | https://www.sumcosi.com/english/corporate/evaluation.html,medium,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。 证据强度审计显示该判断主要依赖搜索结果或 B/B- 来源；已降为 medium，待补官网、公告、年报、招股书或权威市场份额报告后再恢复 high。,stage4::R4-022,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-098,A:2;B-:1,公开资料检索,2026-10-08,
R4-023,TSMC,中游/封装测试/先进封装/2.5D/3D/Chiplet先进封装,NVIDIA,中游/设计与产品/芯片设计/Fabless/AI/GPU/CPU算力芯片,先进封装,TSMC -> NVIDIA,TSMC CoWoS/先进封装产能服务于 NVIDIA AI GPU。,E4-101;E4-102;E4-103;E4-104;E4-105,https://www.astutegroup.com/news/industrial/advanced-packaging-demand-soars-nvidia-secures-60-of-cowos-capacity | https://www.reuters.com/technology/nvidia-ceo-says-its-advanced-packaging-technology-needs-are-changing-2025-01-16 | https://institutionofelectronics.ac.uk/nvidia-tsmc-and-advanced-packaging-realignment-in-2025 | https://www.viksnewsletter.com/p/the-technical-reality-of-replacing-cowos-with-cowop | https://hardforum.com/threads/ai-gpu-production-to-be-constrained-till-end-of-2024-due-to-tsmc-packaging-capacity-crunch.2030397,medium,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。 证据强度审计显示该判断主要依赖搜索结果或 B/B- 来源；已降为 medium，待补官网、公告、年报、招股书或权威市场份额报告后再恢复 high。,stage4::R4-023,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-101,A-:1;B-:4,公开资料检索,2026-10-08,
R4-024,TSMC,中游/封装测试/先进封装/2.5D/3D/Chiplet先进封装,AMD,中游/设计与产品/芯片设计/Fabless/AI/GPU/CPU算力芯片,先进封装,TSMC -> AMD,TSMC 先进封装/CoWoS 产能服务于 AMD 高性能芯片。,E4-106;E4-107;E4-108;E4-109;E4-110,https://thechinaproject.com/2023/09/15/advanced-packaging-is-the-frontier-of-semiconductor-technology-and-tsmc-is-in-the-lead | https://semiwiki.com/forum/threads/tsmc%E2%80%99s-advanced-packaging-capacity-is-fully-booked-for-next-two-years-by-nvidia-and-amd.20157 | https://newsletter.semianalysis.com/p/advanced-packaging-part-2-review | https://www.thegpu.directory/provider/tsmc-advanced-packaging | https://ir.amd.com/news-events/press-releases/detail/1287/amd-announces-production-ramp-of-next-generation-amd-epyc-processor-venice-on-tsmc-2nm-process-technology,high,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。,stage4::R4-024,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-106,A:1;B-:4,公开资料检索,2026-10-08,
R4-025,TSMC,中游/封装测试/先进封装/2.5D/3D/Chiplet先进封装,Broadcom,中游/设计与产品/芯片设计/Fabless/AI/GPU/CPU算力芯片,先进封装,TSMC -> Broadcom,TSMC 先进封装/CoWoS 产能服务于 Broadcom 定制 AI ASIC 等产品。,E4-111;E4-112;E4-113;E4-114;E4-115,https://www.techpowerup.com/314095/tsmc-ramps-up-cowos-advanced-packaging-production-to-meet-soaring-ai-chip-demand | https://futurumgroup.com/insights/applied-materials-epic-advanced-packaging-ecosystem-adds-broadcom-to-tsmc | https://finance.yahoo.com/news/broadcom-and-tsmc-to-emerge-as-big-winners-in-the-custom-ai-chip-boom-130336239.html | https://pr.tsmc.com/system/files/newspdf/THWQPGPGTH/NEWS_FILE_EN.pdf | https://pr.tsmc.com/english/news/2026,medium,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。 证据强度审计显示该判断主要依赖搜索结果或 B/B- 来源；已降为 medium，待补官网、公告、年报、招股书或权威市场份额报告后再恢复 high。,stage4::R4-025,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,,2026-07-05,当前支持,事实判断,E4-111,A:2;B:1;B-:2,公开资料检索,2026-10-08,
R4-026,通富微电,中游/封装测试/先进封装/2.5D/3D/Chiplet先进封装,AMD,中游/设计与产品/芯片设计/Fabless/AI/GPU/CPU算力芯片,封装测试产能承接,通富微电 -> AMD,通富微电与 AMD 在封装测试和合资公司层面存在公开披露关系，通富微电承接 AMD 相关封装测试产能线索。,E4-116;E4-117;E4-118;E4-119;E4-120;E4-121;E4-122;E4-123,http://finance.eastmoney.com/a/202312142933058619.html | https://www.icspec.com/news/article-details/2261311 | https://www.528btc.com/e/action/ShowInfo.php?classid=115&id=881870 | https://www.nbd.com.cn/articles/2023-12-14/3163888.html | https://www.163.com/dy/article/ILTJ7G2J0512B07B.html | https://www.digitimes.com/news/a20230612PD208/amd-china-tongfu.html,medium,仅保留搜索结果中直接点名双方公司的供应链硬关系；未命中公开直接证据的候选关系不入表。 证据强度审计显示该判断主要依赖搜索结果或 B/B- 来源；已降为 medium，待补官网、公告、年报、招股书或权威市场份额报告后再恢复 high。,stage4::R4-026,2026-07-08,2026-07-08,2026-07-05,,,,unknown,检索快照,2023-12-14;2025-04-07,2026-07-05,当前支持,事实判断,E4-116,A:2;A-:1;B:1;B-:4,公开资料检索,2026-10-08,
